municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh
Dalton,5296,94.6,35.1,5816,3,68915,88498,0.6,4.8,3220,95.9,67.5,0.6,15.4,8.9,1.6,2.9,1.9,1.2,0,75.8,24.2,6769,91.1,50.7,97.9,0.4,0.3,1.6,0,0.1,2.1,27,11,61,1.424027027
Hampden,3987,93.6,35.3,4453,7.6,91646,111109,0.4,2.6,2122,94.3,92.3,3.1,2.5,1.1,0.6,0,0.4,0,0,91.4,8.7,5178,99.5,51.5,97.2,0.2,0.6,1,0,1.8,3.7,16,19,63,0.53365
Plainfield,517,96.7,45.3,577,3.8,60000,86496,4.6,6.8,357,82.9,88.8,2.5,3.9,0.8,0,0,0,3.9,0,81.8,18.2,648,112.5,52,96.1,2.5,1.9,2.3,0,0.9,4,29,6,64,0.723526786
Ashland,12586,95.8,58.5,14126,2.2,124130,143589,2.4,3.9,7068,96.2,56.9,17.7,5.2,10.2,3.3,0.9,5.9,0,0,82.6,17.4,17710,94.5,42,84.4,3.1,0.9,11.8,0,1.9,7,27,10,62,0.786901195
Berkley,4723,95.1,35.7,5386,2,103182,116875,2.3,2.5,2459,96.9,95,3.4,0,0.6,0,0,0,1,0,96.9,3.1,6730,98.7,43.2,98.6,0.4,0.2,0,1.1,1.4,0.1,19,14,65,0.880431115
Lakeville,8207,95.3,39,9316,3.3,106633,125907,3.3,3.7,4483,91.3,87,1.7,1.8,2.4,1.4,0.5,4.2,1,0,84.8,15.2,11420,101.9,44.3,96.5,2.7,1.1,1,0.1,0.9,2.8,15,16,66,0.853930481
Southampton,4479,94.5,41.6,5271,4.4,104577,120521,2.1,2.5,2406,100,89.1,2,1.5,0.6,4.5,0,2.2,0,0,90.9,9.1,6144,104.8,47.9,97.3,1.3,0,3.1,0,0,0,22,14,63,0.96742515
Hanover,9527,96.5,48.7,11138,4.1,127981,156549,1.9,3,5038,97.5,85.3,1.5,3.5,2.7,1.6,0.3,4.8,0.3,0,88.1,11.9,14459,94.2,41.9,97.7,1.7,0,0.4,0,0.9,0.6,20,15,64,1.194562
Swansea,12547,88.7,23.9,13913,4.7,86637,94207,1.8,4.7,6631,95.9,90,0.4,4.8,1.3,1.7,0.4,0.3,1,0,88.2,11.8,16567,105.1,45.8,98.2,0.2,0.4,1.8,0,0.9,0.5,26,12,60,0.818719212
Canton,16712,96.1,55.1,18795,3.9,105919,136601,3.3,4.1,9422,96.2,62.6,5.8,4,2.5,10.2,7.4,7.4,0.2,0,76.4,23.6,23369,91.1,42.6,84.3,6.2,0.6,8.2,0.1,2.6,4.1,30,11,57,1.146101354
Middleborough,17930,95.4,26.2,20849,3.7,83631,107545,5.3,7.4,9924,93.4,67.4,5.7,6.2,5.1,3.9,4.3,1.8,5.7,0,80.3,19.7,24802,104.9,44.8,96.3,2.6,0.9,1.1,0.1,0.9,2.4,18,14,67,1.023377102
Wareham,7601,92.6,28.7,8456,4.5,63805,78138,8.2,11.7,5467,76.6,79.1,3.5,2.2,3.4,4.7,1.3,3.3,2.6,0,64.6,35.4,10608,88.4,43.5,89,8.4,3.1,1.3,0.8,5.2,4.1,23,12,63,
Hinsdale,1983,92.4,30.4,2199,3.7,63947,81095,9.8,11.2,1528,73,76.7,1.4,2.4,8.3,2,0,0,9.2,0,81.7,18.3,2567,102.3,51.1,99.4,0.5,0.6,0.3,0.2,1.3,1.6,24,10,65,0.832327273
Ludlow,15838,82.6,22.9,17791,4.5,73458,86546,6.4,8.7,8408,94.3,70.6,5,11,3.5,2.6,3.4,3.1,0.9,0,72.9,27.1,21291,105.2,44.1,94.9,2.1,0.3,2.4,0,3,8.6,31,13,54,0.918060675
North Attleborough,19312,92.4,40.6,21915,3.4,90558,113233,6.6,8.6,10885,96.3,54.9,4,4.1,13.5,4.8,7.6,8.7,2.5,0,65.8,34.2,27474,93.3,40.1,90.1,3,0.3,7.2,0.4,2.2,6,19,16,64,0.826082926
Raynham,10421,93.4,40.5,11813,4.4,101826,119056,2.4,5.4,5477,96.8,69.2,0.4,2.8,2.1,7.1,3.4,7.5,7.5,0,81.2,18.8,14488,85.1,42.3,96.9,1.7,0,2.4,0,1.3,2,21,14,63,0.912634731
Weston,7755,99,82.8,9411,4,207702,302694,6.7,7.6,3964,95.5,85.7,2.7,1,4.1,0.7,0.4,5.1,0.2,0,85.8,14.2,12112,91.6,45.1,82.3,2.2,0.2,16.4,0,2.8,3.8,25,15,59,1.210998228
Savoy,532,87.4,19.5,586,6,58125,74555,5.7,7.1,364,80.5,88.7,0,0,1.6,0.3,0,0.5,8.8,0,91.8,8.2,680,123,52.3,90.9,10.1,0.9,0,0,0.1,3.2,15,5,77,0.714195402
Seekonk,11433,92,40.8,12583,3,90078,115938,4.7,5.3,6518,92.9,84,1.3,5.2,3.3,1.4,0.9,3,0.9,0,83.8,16.2,15441,87,45,95.9,2.3,0.1,1.9,0.5,2.5,2.5,20,12,67,0.894136546
Bolton,3506,98.9,68.9,4013,1.7,173024,186436,0.8,1.1,1851,93.9,91.7,3,3.3,0.4,0,0.6,1,0,0,93.5,6.5,5299,105,43,95.2,0.5,0,5.8,0.5,0.6,1.4,21,16,62,0.45829108
East Bridgewater,9804,95.9,30.5,11195,4.2,90528,105193,3.3,6.3,4947,97.6,81.7,4.4,4.7,3.6,3.1,1.2,1.1,0.2,0,80.9,19.1,14466,91.5,37.8,93,5,0.5,3.5,0,1.6,2.1,19,14,65,1.323409006
Sheffield,1596,97.9,33.9,1879,4.8,100909,124863,3,8.3,1305,70.3,80.6,4.3,5.4,6.1,1.5,0,2.1,0,0,84.7,15.3,2017,111.9,53.2,100,0,0,0,0,0,2.3,31,13,55,0.885915493
Halifax,5461,95.7,30.6,6385,2.4,92774,104699,5.3,4.9,2950,98.4,70.7,8.4,2.3,1.8,1.9,0,0,14.9,0,90.8,9.2,7842,87.3,41.7,96.6,2.7,0.1,0.4,0,0.7,0.7,18,14,66,0.333660468
West Bridgewater,5087,96.2,35.4,5901,3.9,97404,108335,2.4,4.6,2696,92.7,77.4,4.3,6.8,3.3,2.6,0.3,0,5.3,0,86.6,13.4,7198,95.6,43.9,97.2,3.1,0,1,0,0,3.1,19,16,64,1.269692814
Gill,1276,96.9,49.5,1431,3.6,67917,86738,2.9,8.6,623,92.9,83,3.5,4,5.3,0,1.8,0.6,1.8,0,81.7,18.3,1596,149,48.8,91.1,6,0.7,3,0,0.3,0.6,28,8,62,0.585107632
Eastham,4048,97.9,50.3,4453,4.8,71981,93829,6.4,8.3,6222,38.4,95,3,1.4,0.6,0,0,0.1,0,0,90.7,9.3,4876,85.5,60.2,93.7,1.7,1.3,3.6,0,1,0.9,29,12,58,1.315416334
Bernardston,1924,96,28.4,2110,5.1,66771,85278,6.8,7.9,1220,88,84.3,0.8,5.2,1.2,1.2,1.9,0,5.2,0.2,80.6,19.4,2532,109.1,50.5,99.4,0,0,0,0,0.8,0.4,20,9,69,0.836
Norfolk,8018,92.1,52.8,9139,3.4,151279,175072,0.5,1.1,3337,95.5,89.3,6.9,1.6,0.3,1.9,0,0,0,0,95.6,4.4,11309,140.4,41.8,88.7,7.3,0.3,2,0,3.4,7.1,19,18,63,1.140301318
Sherborn,2979,99.7,83.6,3357,3.2,198681,222760,4.6,5.8,1601,95.3,91.5,3.9,0.6,0,1.3,0,2.7,0,0,96,4,4316,85.2,46.6,92.6,1.6,0,8.4,0,1,2.2,26,15,58,1.411527778
Auburn,12084,94.7,40.5,13660,5,85432,103282,1,3.1,6902,96.1,77.7,4.6,2.9,4.7,3.1,1.4,2.4,3.2,0,84.9,15.1,16619,95,45,96,1.8,0.8,2.1,0.1,0.7,4.6,25,11,62,1.152405532
Shelburne,3025,93,44.5,3307,6.5,62966,86736,6.6,10.3,2070,87.5,65.9,2.9,14.3,10.3,3.2,0.7,0.6,2.1,0,68.1,31.9,3852,88.8,52.5,95.1,1.3,0.2,4.6,0.5,0,1.1,33,6,60,0.690846154
Millbury,9902,92.9,32.5,11343,6.9,85781,108804,2.3,4.4,5674,93,60.8,10.2,9.9,7.3,6,1.7,3.9,0.4,0,73.3,26.7,13732,91.1,44.9,94.4,3,0.5,2.9,0.5,1.5,1.2,23,12,64,0.701102468
Conway,1442,98.4,62.3,1574,4.4,96563,135248,0.7,1.9,894,87,90.5,3,4.4,0,0,0.3,1.5,0.3,0,85.5,14.5,1929,106.1,51.1,99.3,0,0.6,0.2,0,0.5,2.7,38,9,51,1.087700617
Marion,3745,93.8,51.4,4145,4.4,81928,131747,0,4,2481,78.3,93.3,1.2,1.2,0.3,0.7,0.8,2.5,0,0,80.3,19.7,5132,91.1,50.2,91.7,2.9,0,3.3,0,6,4.4,22,16,60,0.639242151
Chilmark,1282,99.4,61.9,1514,5.1,96061,161474,5.5,10.3,2163,29.2,98,0.9,0.6,0,0,0,0,0.6,0,79.7,20.3,1753,93.1,47.4,89.9,4.6,9.8,1.2,0,0.6,6.7,46,5,48,0.395555556
Acushnet,8009,84.9,22.2,9035,3.6,80221,93690,3.8,4.3,4236,96.6,84.3,1.6,2.1,5.2,1.5,0.5,0.2,4.6,0,86.8,13.2,10529,92.9,47.1,94.3,1.3,1,2.2,0,4.5,3.4,27,8,64,1.223592314
Chelmsford,18611,97.2,59.5,20952,4.3,126081,141712,1.5,3.2,9982,97.3,74.1,4.7,2.3,1.4,1.3,5.6,9.4,1.1,0,84.5,15.5,25754,96.6,44.7,88.9,0.7,0.4,10.6,0,0.8,2.9,22,12,65,1.108876744
Acton,15787,96.4,74.7,17918,4.1,141265,170409,0.9,3.1,8689,98.2,63.2,6.3,3.7,2.7,2.9,9.7,11.1,0.4,0,74.3,25.7,22791,94.9,44.1,71.7,1.8,0.4,27.9,0.3,0.6,3.3,29,9,61,0.810189811
Westford,16259,97.6,67.4,19090,3,144917,157882,1.5,2.1,8852,96.8,81.5,7.8,1.1,1.4,2.8,1.1,4,0.3,0,86.2,13.8,24342,97.2,43.2,79,0.9,0.5,21.2,0,0,1.5,21,12,66,1.255470919
Amherst,14069,95.8,66.4,26656,5.8,61159,91025,7,26,10965,89.4,45.6,4.7,9.9,9.5,10.8,9.3,10,0.1,0,49,51,30014,92.9,23.4,80.2,8.8,1.4,12.7,0.7,2.3,7.5,49,4,45,1.02619665
Leicester,4519,91.3,29.4,5671,3.7,81042,95204,5.8,8.1,2542,96.5,77.9,2.1,3.1,0.7,3.2,4.3,7.6,1.1,0,75.8,24.2,6654,89.4,42.3,96.8,3.4,0.1,1.2,0.1,0,2.4,24,11,64,
Ashfield,1031,96.7,47.1,1157,4.8,70761,100026,5.5,10,716,80.2,83.5,0.8,8.9,2.4,2.9,1.4,0,0,0,81.2,18.8,1276,98.4,55.2,98.1,0.5,0.9,2.8,0,1.8,3.1,33,6,60,1.232900943
Erving,1014,90.7,17.7,1126,7.6,62727,70176,6.9,11.8,604,90.4,70.9,4.6,9.6,9.1,0,0.7,3.8,1.3,0,79.1,20.9,1380,83.8,45.5,96.4,1.9,2,1.4,0,0.9,3.7,21,9,69,0.845382003
Berlin,2392,96.4,50.5,2693,2.9,99297,131851,2.9,4.2,1253,94.1,61.9,19.2,9.3,3,0.9,0,4.9,0.6,0,82.5,17.5,3182,92.8,49.7,98.7,0.4,0,2.4,0,0,0.2,19,12,67,1.008139535
Dartmouth,14075,85.2,28.4,20033,4.7,82963,100576,5.3,7.3,7265,95.3,77.7,1.7,2.4,3,1.4,6.5,7,0.2,0.1,77.1,22.9,22947,95.3,36.3,91.3,5.7,0.6,3.5,0.1,1.5,2.9,31,11,57,0.782741967
Egremont,6053,92.9,41.2,7154,3.6,69328,88861,5.8,7.5,4735,74.1,75,0.9,7.7,4,7,2.6,2.2,0.7,0,74.5,25.5,8525,88.4,49.6,94.1,3.2,0.2,1.1,0.2,2.3,5.7,42,7,50,0.71097561
Florida,10556,85.1,23.4,13045,5.4,44721,61315,12.7,17.7,7696,85.3,51,1.7,12.4,14.8,9,1,6.3,3.9,0,62.5,37.5,15466,102.1,43.2,94.8,4.4,1.8,1,0.2,2.8,5.8,17,10,72,1.559763033
Hamilton,5348,98.2,69.3,6176,1.6,127813,143832,9.4,11.9,2955,92,85.1,1,2.6,0.5,3.8,0.4,6.3,0.3,0,80.9,19.1,8031,102.3,41.1,92.9,1,0.2,6.5,0.2,0.5,1.5,20,16,63,0.891755046
Middlefield,253,100,24.1,266,0,49643,77533,3.2,4.1,198,72.7,100,0,0,0,0,0,0,0,0,96.5,3.5,268,76.3,61.2,94.4,0,4.9,2.6,0,0,0,29,16,55,1.027052023
Monroe,67,100,10.4,71,11.9,28750,46057,21.7,14.9,70,70,91.4,2.9,2.9,2.9,0,0,0,0,0,73.5,26.5,87,102.3,57.1,100,0,0,0,0,0,0,7,7,85,0.773287671
Mount Washington,382,97.1,58.6,436,0,67500,83089,5.7,8,372,57.5,90.3,0.5,8.1,1.1,0,0,0,0,0,84.1,15.9,488,125.9,50.1,88.1,0.2,8.4,0.4,0.2,2.9,7.8,29,7,64,0.350547945
New Marlborough,484,91.3,52.3,517,3.9,68438,111359,0,8.9,464,61.6,94.4,1.7,2.2,0,0.9,0,0,0.9,0,89.9,10.1,540,94.2,59.4,98.7,1.5,0,0,0,0.6,0.6,31,12,55,1.160458453
Phillipston,9689,90.5,19.9,11209,8.4,57987,70485,8.1,13,6031,87.4,71.7,2.4,8.1,6.2,4.4,3,2.4,1.7,0,74.3,25.7,13486,87.2,43.8,95.2,2.8,0.7,1.5,0,3.3,4.9,14,14,70,0.804388298
Truro,586,88.9,41.5,586,4.2,70921,80629,0,1.9,1885,17.9,81,5.3,1.9,5.1,1.5,0.7,1.5,3,0,81.1,18.9,687,94.6,60.6,100,0,0,0,0,0,0,40,6,53,0.454035245
Tyringham,159,99.4,42.8,187,1.7,71250,136495,3.6,20.4,128,62.5,93.8,6.3,0,0,0,0,0,0,0,77.5,22.5,206,70.2,55.5,92.7,1,0,0,0,6.3,15,30,12,58,0.904439024
West Tisbury,2003,98,54.3,2166,2.4,95351,111340,0,6,2457,43.5,97.7,0,1.6,0.7,0,0,0,0,0,87.5,12.5,2418,72.6,54.9,97.1,3.4,1.4,1,0.3,0.6,2.6,41,6,52,0.774117647
Westhampton,13940,96.4,39.3,15399,6.6,67119,82441,3.5,8.6,8457,93.7,56.7,4.6,11.1,10.3,6.5,5.6,5,0.2,0,63.6,36.4,17818,96,45,95.9,2.4,0.4,3.1,0,1.3,4.2,22,9,68,0.970175879
Whately,228,98.7,55.3,288,2.1,91563,138207,0,8,120,97.5,90.8,4.2,5,0,0,0,0,0,0,94,6,313,104.6,52.3,100,0,0,0,0,0,0,28,11,59,0.629391304
Yarmouth,17674,94.5,36.3,19482,4.1,64627,82620,4.5,6.7,16238,61.8,79.8,6.4,2.6,1.7,2.6,1.5,5.3,0,0,77.8,22.2,22074,83.7,54.1,92.3,3.9,0.7,3.0,0.5,2.5,2.9,25,15,59,1.010588128
